╔═══════════════════════════════════════════════════════╗
║   NodeFlux Multi-Node MySQL Monitor                   ║
║   Auto-discovers and monitors all MySQL containers    ║
╚═══════════════════════════════════════════════════════╝
InfluxDB: http://127.0.0.1:8086 | Org: capstone | Bucket: metrics
Poll: 1s | Discovery: 10s

[capstone_mysql_1] CPU: 0.9% | Mem: 10.3% | Disk R/W: 4530.9/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/128906.6 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 0.8% | Mem: 10.3% | Disk R/W: 0.0/127722.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 30.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.1% | Mem: 10.3% | Disk R/W: 4154.1/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/127731.4 KB/s | Net R/W: 30.2/39.5 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/126658.7 KB/s | Net R/W: 0.0/39.1 KB/s
[capstone_mysql_1] CPU: 1.8% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 4232.0/131627.7 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/41.1 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 4492.3/126376.2 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.0% | Mem: 10.3% | Disk R/W: 4087.4/127132.7 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 31.8/41.8 KB/s
